Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Mihail Lomonosov;4/9, 49/1-49/18, 51/1-65/3;MD-2025
Strada;;Emil Loteanu;toate;MD-2045
Strada;;Serghei Lunchevici;toate;MD-2051
Strada;;Ştefan Luchian;toate;MD-2008
Strada;;Lunca Bîcului;29,33/1,33/2,33/3;MD-2023
Strada;;Luncii;toate;MD-2024
Strada;;Andrei Lupan;toate;MD-2059
Strada;;Voluntar Filip Lupaşcu;toate;MD-2049
Strada;;Luceafărul;toate;MD-2011
Strada;;Vasile Lupu;toate;MD-2008
Strada;;Lvov;toate;MD-2060
Strada;;Măcieşilor;toate;MD-2028
Strada;;Macilor;toate;MD-2024
Strada;;Gheorghe Madan;1-43, 2-12;MD-2059
Strada;;Gheorghe Madan;14-52, 47-87;MD-2020
Strada;;Vladimir Maiacovski;toate;MD-2023
Strada;;Petru Maior;toate;MD-2005
Strada;;Titu Maiorescu;toate;MD-2001
Strada;;Teodor Malai;toate;MD-2070
Strada;;Gheorghe Malarciuc;toate;MD-2009
Strada;;Maramureş;toate;MD-2043
Strada;;Alexandru Marinescu;1-19,  2-36;MD-2051
Strada;;8 Martie;toate;MD-2059
Strada;;27 Martie 1918;toate;MD-2069
Strada;;Alexei Mateevici; 13-15, 32-36, 36a;MD-2012
Strada;;Alexei Mateevici;21-sf, 38-sf;MD-2009
Strada;;Alexei Mateevici;5-11, 2-30;MD-2001
Strada;;Matei Milo;toate;MD-2043
Strada;;Mazililor;toate;MD-2038
Strada;;Măceşilor;toate;MD-2028
Strada;;Măgurele;toate;MD-2070
Strada;;Mălăieşti;toate;MD-2023
Strada;;Mălina Mare;28-46, 39-49;MD-2038
Strada;;Mălina Mică;toate;MD-2025
Strada;;Todeus Malinovschi;toate;MD-2019
Strada;;Mărăşeşti;toate;MD-2028
Strada;;Mărţişor;toate;MD-2028
Strada;;Măzărachi;toate;MD-2005
Strada;;Melestiu;14/3,14/4,16,18,20,20/2,22a,24;MD-2001
Strada;;Melestiu;2-12, 11-15;MD-2038
Strada;;Memoriei;toate;MD-2049
Strada;;Memoriei;toate;MD-2049
Strada;;Gheorghe Meniuc;toate;MD-2009
Strada;;Mereni;toate;MD-2023
Strada;;Mereşeni;toate;MD-2001
